epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0686,1.39146,4.02795,1.42672,0.00966,0.64027,0.09945,0.05256,1.16948,3.30815,1.26259,0.0671535,0.000331783,0.000331783
2,62.755,1.22245,3.17973,1.25998,0.48987,0.29442,0.2205,0.13411,1.1457,2.26723,1.25105,0.0341096,0.000621219,0.000621219
3,89.3769,1.18651,2.41739,1.24295,0.57698,0.44915,0.39242,0.26309,1.0692,1.78896,1.19233,0.00102169,0.000866654,0.000866654
4,115.872,1.10629,2.02325,1.19121,0.73457,0.50766,0.53458,0.39225,0.9504,1.4785,1.12283,0.000802,0.000802,0.000802
5,142.395,1.03215,1.792,1.1561,0.70392,0.62998,0.65237,0.47818,0.88343,1.28854,1.08616,0.000736,0.000736,0.000736
6,185.118,0.95572,1.86408,1.14964,0.68011,0.65586,0.69067,0.50942,0.85043,1.2273,1.07988,0.00067,0.00067,0.00067
7,211.665,0.9092,1.68432,1.11846,0.7278,0.71279,0.74545,0.55806,0.81119,1.10112,1.05612,0.000604,0.000604,0.000604
8,237.908,0.88637,1.59645,1.1003,0.74206,0.71601,0.75667,0.57384,0.78409,1.04925,1.03871,0.000538,0.000538,0.000538
9,264.095,0.86217,1.52915,1.0776,0.73711,0.73421,0.76756,0.58408,0.78166,1.03169,1.03457,0.000472,0.000472,0.000472
10,290.484,0.83389,1.50004,1.07884,0.71406,0.7582,0.78019,0.60402,0.75962,0.99401,1.02421,0.000406,0.000406,0.000406
11,316.903,0.82203,1.45218,1.06761,0.7887,0.70527,0.7892,0.60179,0.74679,0.97989,1.01656,0.00034,0.00034,0.00034
12,343.305,0.80724,1.43507,1.06121,0.80646,0.69196,0.79433,0.61745,0.7286,0.95459,1.00984,0.000274,0.000274,0.000274
13,369.572,0.80344,1.40045,1.06205,0.74101,0.74872,0.79887,0.62399,0.72535,0.94879,1.00842,0.000208,0.000208,0.000208
14,395.847,0.79148,1.3905,1.04508,0.74277,0.76945,0.80586,0.62806,0.7189,0.92977,1.00314,0.000142,0.000142,0.000142
15,422.25,0.78173,1.36354,1.04204,0.75884,0.74964,0.80428,0.63221,0.71326,0.92244,1.00252,7.6e-05,7.6e-05,7.6e-05
